Episode,Plan,Why Actions?,Actions,Why Not?,Tree
0,"['occurs(move(learner,11,14),1)', 'occurs(move(learner,12,14),2)', 'occurs(move(learner,13,14),3)']","[[['holds(in(learner,10,14),1),-next_to(13,14,10,14)'], 'holds(in(learner,13,14),3)', 3], [['holds(in(learner,11,14),2),-next_to(13,14,11,14)'], 'holds(in(learner,13,14),3)', 3], []]","['move(learner,19,0)', 'shoot(learner,attacker3)', 'rotate(learner,north)']","[[[], ['holds(in(learner,10,14),1),-next_to(19,0,10,14)']], [[], ['-holds(in_range(learner,attacker3),2)']], [['holds(face(learner,south),3),-next_dir(north,north_east)']]]","belief0 : 
['-occurs(rotate(learner,north),3)']
None
belief1 : 
[('holds(face(learner,south),3)', '-next_dir(north,south)')]
[['-occurs(rotate(R,D1),I)', 'holds(face(R,D2),I),-next_dir(D1,D2)']]
belief2 : 
[]
[['holds(face(learner,south),0)', ''], ['holds(face(learner,south),1)', '']]
"
0,"['occurs(move(learner,12,14),1)', 'occurs(move(learner,13,14),2)', 'occurs(move(learner,14,14),3)']","[[['holds(in(learner,11,14),1),-next_to(14,14,11,14)'], 'holds(in(learner,14,14),3)', 3]]","['shoot(learner,attacker2)']","[[[], ['-holds(in_range(learner,attacker2),1)']]]","belief0 : 
['-occurs(shoot(learner,attacker2),1)']
None
belief1 : 
['-holds(in_range(learner,attacker2),1)']
[['-occurs(shoot(R,A),I)', '-holds(in_range(R,A),I)']]
"
0,"['occurs(move(learner,12,14),1)', 'occurs(move(learner,13,14),2)', 'occurs(move(learner,14,14),3)']","[[['holds(in(learner,11,14),1),-next_to(14,14,11,14)'], 'holds(in(learner,14,14),3)', 3], [['holds(in(learner,12,14),2),-next_to(14,14,12,14)'], 'holds(in(learner,14,14),3)', 3]]","['shoot(learner,attacker2)', 'rotate(learner,north_west2)']","[[[], ['-holds(in_range(learner,attacker2),1)']], [['holds(face(learner,south),2),-next_dir(north_west2,north_east)']]]","belief0 : 
['-occurs(rotate(learner,north_west2),2)']
None
belief1 : 
[('holds(face(learner,south),2)', '-next_dir(north_west2,south)')]
[['-occurs(rotate(R,D1),I)', 'holds(face(R,D2),I),-next_dir(D1,D2)']]
belief2 : 
[]
[['holds(face(learner,south),0)', ''], ['holds(face(learner,south),1)', '']]
"
0,"['occurs(move(learner,12,14),1)', 'occurs(move(learner,13,14),2)', 'occurs(move(learner,14,14),3)']","[[['holds(in(learner,11,14),1),-next_to(14,14,11,14)'], 'holds(in(learner,14,14),3)', 3], [['holds(in(learner,12,14),2),-next_to(14,14,12,14)'], 'holds(in(learner,14,14),3)', 3], []]","['shoot(learner,attacker2)', 'rotate(learner,north_west2)', 'move(learner,16,14)']","[[[], ['-holds(in_range(learner,attacker2),1)']], [['holds(face(learner,south),2),-next_dir(north_west2,north_east)']], [[], ['holds(in(learner,13,14),3),-next_to(16,14,13,14)']]]","belief0 : 
['-occurs(move(learner,16,14),3)']
None
"
0,"['occurs(move(learner,9,14),1)', 'occurs(move(learner,8,14),2)', 'occurs(move(learner,7,14),3)']","[[['holds(in(learner,9,15),1),-next_to(7,14,9,15)'], 'holds(in(learner,7,14),3)', 3]]","['shoot(learner,attacker2)']","[[[], ['-holds(in_range(learner,attacker2),1)']]]","belief0 : 
['-occurs(shoot(learner,attacker2),1)']
None
belief1 : 
['-holds(in_range(learner,attacker2),1)']
[['-occurs(shoot(R,A),I)', '-holds(in_range(R,A),I)']]
"
0,"['occurs(move(learner,9,14),1)', 'occurs(move(learner,8,14),2)', 'occurs(move(learner,7,14),3)']","[[['holds(in(learner,9,15),1),-next_to(7,14,9,15)'], 'holds(in(learner,7,14),3)', 3], [['holds(in(learner,9,14),2),-next_to(7,14,9,14)'], 'holds(in(learner,7,14),3)', 3]]","['shoot(learner,attacker2)', 'rotate(learner,east)']","[[[], ['-holds(in_range(learner,attacker2),1)']], [['holds(face(learner,south),2),-next_dir(east,north_east)']]]","belief0 : 
['-occurs(rotate(learner,east),2)']
None
belief1 : 
[('holds(face(learner,south),2)', '-next_dir(east,south)')]
[['-occurs(rotate(R,D1),I)', 'holds(face(R,D2),I),-next_dir(D1,D2)']]
belief2 : 
[]
[['holds(face(learner,south),0)', ''], ['holds(face(learner,south),1)', '']]
"
0,"['occurs(move(learner,9,14),1)', 'occurs(move(learner,8,14),2)', 'occurs(move(learner,7,14),3)']","[[['holds(in(learner,9,15),1),-next_to(7,14,9,15)'], 'holds(in(learner,7,14),3)', 3], [['holds(in(learner,9,14),2),-next_to(7,14,9,14)'], 'holds(in(learner,7,14),3)', 3], []]","['shoot(learner,attacker2)', 'rotate(learner,east)', 'shoot(learner,attacker3)']","[[[], ['-holds(in_range(learner,attacker2),1)']], [['holds(face(learner,south),2),-next_dir(east,north_east)']], [[], ['-holds(in_range(learner,attacker3),3)']]]","belief0 : 
['-occurs(shoot(learner,attacker3),3)']
None
belief1 : 
['-holds(in_range(learner,attacker3),3)']
[['-occurs(shoot(R,A),I)', '-holds(in_range(R,A),I)']]
"
0,"['occurs(move(learner,9,14),1)', 'occurs(move(learner,8,14),2)', 'occurs(move(learner,7,14),3)']","[[['holds(in(learner,9,15),1),-next_to(7,14,9,15)'], 'holds(in(learner,7,14),3)', 3]]","['rotate(learner,south_east2)']","[[['holds(face(learner,south),1),-next_dir(south_east2,north_east)']]]","belief0 : 
['-occurs(rotate(learner,south_east2),1)']
None
belief1 : 
[('holds(face(learner,south),1)', '-next_dir(south_east2,south)')]
[['-occurs(rotate(R,D1),I)', 'holds(face(R,D2),I),-next_dir(D1,D2)']]
belief2 : 
[]
[['holds(face(learner,south),0)', ''], ['holds(face(learner,south),1)', '']]
"
0,"['occurs(move(learner,9,14),1)', 'occurs(move(learner,8,14),2)', 'occurs(move(learner,7,14),3)']","[[['holds(in(learner,9,15),1),-next_to(7,14,9,15)'], 'holds(in(learner,7,14),3)', 3], [['holds(in(learner,9,14),2),-next_to(7,14,9,14)'], 'holds(in(learner,7,14),3)', 3]]","['rotate(learner,south_east2)', 'shoot(learner,attacker3)']","[[['holds(face(learner,south),1),-next_dir(south_east2,north_east)']], [[], ['-holds(in_range(learner,attacker3),2)']]]","belief0 : 
['-occurs(shoot(learner,attacker3),2)']
None
belief1 : 
['-holds(in_range(learner,attacker3),2)']
[['-occurs(shoot(R,A),I)', '-holds(in_range(R,A),I)']]
"
0,"['occurs(move(learner,9,14),1)', 'occurs(move(learner,8,14),2)', 'occurs(move(learner,7,14),3)']","[[['holds(in(learner,9,15),1),-next_to(7,14,9,15)'], 'holds(in(learner,7,14),3)', 3], [['holds(in(learner,9,14),2),-next_to(7,14,9,14)'], 'holds(in(learner,7,14),3)', 3], []]","['rotate(learner,south_east2)', 'shoot(learner,attacker3)', 'shoot(learner,attacker1)']","[[['holds(face(learner,south),1),-next_dir(south_east2,north_east)']], [[], ['-holds(in_range(learner,attacker3),2)']], [[], ['-holds(in_range(learner,attacker1),3)']]]","belief0 : 
['-occurs(shoot(learner,attacker1),3)']
None
belief1 : 
['-holds(in_range(learner,attacker1),3)']
[['-occurs(shoot(R,A),I)', '-holds(in_range(R,A),I)']]
"
0,"['occurs(move(learner,7,13),4)', 'occurs(move(learner,6,13),5)', 'occurs(move(learner,5,13),6)']","[[['holds(in(learner,8,13),4),-next_to(5,13,8,13)'], 'holds(in(learner,5,13),6)', 6]]","['move(learner,0,12)']","[[[], ['holds(in(learner,8,13),4),-next_to(0,12,8,13)']]]","belief0 : 
['-occurs(move(learner,0,12),4)']
None
"
0,"['occurs(move(learner,7,13),4)', 'occurs(move(learner,6,13),5)', 'occurs(move(learner,5,13),6)']","[[['holds(in(learner,8,13),4),-next_to(5,13,8,13)'], 'holds(in(learner,5,13),6)', 6], [['holds(in(learner,7,13),5),-next_to(5,13,7,13)'], 'holds(in(learner,5,13),6)', 6]]","['move(learner,0,12)', 'rotate(learner,south)']","[[[], ['holds(in(learner,8,13),4),-next_to(0,12,8,13)']], [['holds(face(learner,south),5),-next_dir(south,north_east)']]]","belief0 : 
['-occurs(rotate(learner,south),5)']
None
belief1 : 
[('holds(face(learner,south),5)', '-next_dir(south,south)')]
[['-occurs(rotate(R,D1),I)', 'holds(face(R,D2),I),-next_dir(D1,D2)']]
belief2 : 
[]
[['holds(face(learner,south),0)', ''], ['holds(face(learner,south),1)', '']]
"
0,"['occurs(move(learner,7,13),4)', 'occurs(move(learner,6,13),5)', 'occurs(move(learner,5,13),6)']","[[['holds(in(learner,8,13),4),-next_to(5,13,8,13)'], 'holds(in(learner,5,13),6)', 6], [['holds(in(learner,7,13),5),-next_to(5,13,7,13)'], 'holds(in(learner,5,13),6)', 6], []]","['move(learner,0,12)', 'rotate(learner,south)', 'rotate(learner,west)']","[[[], ['holds(in(learner,8,13),4),-next_to(0,12,8,13)']], [['holds(face(learner,south),5),-next_dir(south,north_east)']], [['holds(face(learner,south),6),-next_dir(west,north_east)']]]","belief0 : 
['-occurs(rotate(learner,west),6)']
None
belief1 : 
[('holds(face(learner,south),6)', '-next_dir(west,south)')]
[['-occurs(rotate(R,D1),I)', 'holds(face(R,D2),I),-next_dir(D1,D2)']]
belief2 : 
[]
[['holds(face(learner,south),0)', ''], ['holds(face(learner,south),1)', '']]
"
0,"['occurs(move(learner,4,13),7)']",[[]],"['rotate(learner,north_west)']","[[['holds(face(learner,south),7),-next_dir(north_west,north_east)']]]","belief0 : 
['-occurs(rotate(learner,north_west),7)']
None
belief1 : 
[('holds(face(learner,south),7)', '-next_dir(north_west,south)')]
[['-occurs(rotate(R,D1),I)', 'holds(face(R,D2),I),-next_dir(D1,D2)']]
belief2 : 
[]
[['holds(face(learner,south),0)', ''], ['holds(face(learner,south),1)', '']]
"
0,"['occurs(move(learner,5,13),8)', 'occurs(move(learner,6,13),9)', 'occurs(move(learner,7,13),10)']","[[['holds(in(learner,4,13),8),-next_to(7,13,4,13)'], 'holds(in(learner,7,13),10)', 10]]","['rotate(learner,north_west)']","[[['holds(face(learner,south),8),-next_dir(north_west,north_east)']]]","belief0 : 
['-occurs(rotate(learner,north_west),8)']
None
belief1 : 
[('holds(face(learner,south),8)', '-next_dir(north_west,south)')]
[['-occurs(rotate(R,D1),I)', 'holds(face(R,D2),I),-next_dir(D1,D2)']]
belief2 : 
[]
[['holds(face(learner,south),0)', ''], ['holds(face(learner,south),1)', '']]
"
0,"['occurs(move(learner,5,13),8)', 'occurs(move(learner,6,13),9)', 'occurs(move(learner,7,13),10)']","[[['holds(in(learner,4,13),8),-next_to(7,13,4,13)'], 'holds(in(learner,7,13),10)', 10], [['holds(in(learner,5,13),9),-next_to(7,13,5,13)'], 'holds(in(learner,7,13),10)', 10]]","['rotate(learner,north_west)', 'rotate(learner,south)']","[[['holds(face(learner,south),8),-next_dir(north_west,north_east)']], [['holds(face(learner,south),9),-next_dir(south,north_east)']]]","belief0 : 
['-occurs(rotate(learner,south),9)']
None
belief1 : 
[('holds(face(learner,south),9)', '-next_dir(south,south)')]
[['-occurs(rotate(R,D1),I)', 'holds(face(R,D2),I),-next_dir(D1,D2)']]
belief2 : 
[]
[['holds(face(learner,south),0)', ''], ['holds(face(learner,south),1)', '']]
"
0,"['occurs(move(learner,5,13),8)', 'occurs(move(learner,6,13),9)', 'occurs(move(learner,7,13),10)']","[[['holds(in(learner,4,13),8),-next_to(7,13,4,13)'], 'holds(in(learner,7,13),10)', 10], [['holds(in(learner,5,13),9),-next_to(7,13,5,13)'], 'holds(in(learner,7,13),10)', 10], []]","['rotate(learner,north_west)', 'rotate(learner,south)', 'rotate(learner,north_east2)']","[[['holds(face(learner,south),8),-next_dir(north_west,north_east)']], [['holds(face(learner,south),9),-next_dir(south,north_east)']], [['holds(face(learner,south),10),-next_dir(north_east2,south)']]]","belief0 : 
['-occurs(rotate(learner,north_east2),10)']
None
belief1 : 
[('holds(face(learner,south),10)', '-next_dir(north_east2,south)')]
[['-occurs(rotate(R,D1),I)', 'holds(face(R,D2),I),-next_dir(D1,D2)']]
belief2 : 
[]
[['holds(face(learner,south),0)', ''], ['holds(face(learner,south),1)', '']]
"
1,"['occurs(move(learner,10,14),1)', 'occurs(move(learner,11,14),2)', 'occurs(move(learner,12,14),3)']","[[['holds(in(learner,10,15),1),-next_to(12,14,10,15)'], 'holds(in(learner,12,14),3)', 3]]","['move(learner,8,13)']","[[[], ['holds(in(learner,10,15),1),-next_to(8,13,10,15)']]]","belief0 : 
['-occurs(move(learner,8,13),1)']
None
"
1,"['occurs(move(learner,10,14),1)', 'occurs(move(learner,11,14),2)', 'occurs(move(learner,12,14),3)']","[[['holds(in(learner,10,15),1),-next_to(12,14,10,15)'], 'holds(in(learner,12,14),3)', 3], [['holds(in(learner,10,14),2),-next_to(12,14,10,14)'], 'holds(in(learner,12,14),3)', 3]]","['move(learner,8,13)', 'shoot(learner,attacker3)']","[[[], ['holds(in(learner,10,15),1),-next_to(8,13,10,15)']], [[], ['-holds(in_range(learner,attacker3),2)']]]","belief0 : 
['-occurs(shoot(learner,attacker3),2)']
None
belief1 : 
['-holds(in_range(learner,attacker3),2)']
[['-occurs(shoot(R,A),I)', '-holds(in_range(R,A),I)']]
"
1,"['occurs(move(learner,10,14),1)', 'occurs(move(learner,11,14),2)', 'occurs(move(learner,12,14),3)']","[[['holds(in(learner,10,15),1),-next_to(12,14,10,15)'], 'holds(in(learner,12,14),3)', 3], [['holds(in(learner,10,14),2),-next_to(12,14,10,14)'], 'holds(in(learner,12,14),3)', 3], []]","['move(learner,8,13)', 'shoot(learner,attacker3)', 'shoot(learner,attacker1)']","[[[], ['holds(in(learner,10,15),1),-next_to(8,13,10,15)']], [[], ['-holds(in_range(learner,attacker3),2)']], [[], ['-holds(in_range(learner,attacker1),3)']]]","belief0 : 
['-occurs(shoot(learner,attacker1),3)']
None
belief1 : 
['-holds(in_range(learner,attacker1),3)']
[['-occurs(shoot(R,A),I)', '-holds(in_range(R,A),I)']]
"
1,"['occurs(move(learner,12,14),4)', 'occurs(move(learner,13,14),5)', 'occurs(move(learner,14,14),6)']","[[['holds(in(learner,12,15),4),-next_to(14,14,12,15)'], 'holds(in(learner,14,14),6)', 6]]","['rotate(learner,north1)']","[[['holds(face(learner,south),4),-next_dir(north1,north_east)']]]","belief0 : 
['-occurs(rotate(learner,north1),4)']
None
belief1 : 
[('holds(face(learner,south),4)', '-next_dir(north1,south)')]
[['-occurs(rotate(R,D1),I)', 'holds(face(R,D2),I),-next_dir(D1,D2)']]
belief2 : 
[]
[['holds(face(learner,south),0)', ''], ['holds(face(learner,south),1)', '']]
"
1,"['occurs(move(learner,12,14),4)', 'occurs(move(learner,13,14),5)', 'occurs(move(learner,14,14),6)']","[[['holds(in(learner,12,15),4),-next_to(14,14,12,15)'], 'holds(in(learner,14,14),6)', 6], [['holds(in(learner,12,14),5),-next_to(14,14,12,14)'], 'holds(in(learner,14,14),6)', 6]]","['rotate(learner,north1)', 'rotate(learner,north)']","[[['holds(face(learner,south),4),-next_dir(north1,north_east)']], [['holds(face(learner,south),5),-next_dir(north,north_east)']]]","belief0 : 
['-occurs(rotate(learner,north),5)']
None
belief1 : 
[('holds(face(learner,south),5)', '-next_dir(north,south)')]
[['-occurs(rotate(R,D1),I)', 'holds(face(R,D2),I),-next_dir(D1,D2)']]
belief2 : 
[]
[['holds(face(learner,south),0)', ''], ['holds(face(learner,south),1)', '']]
"
1,"['occurs(move(learner,12,14),4)', 'occurs(move(learner,13,14),5)', 'occurs(move(learner,14,14),6)']","[[['holds(in(learner,12,15),4),-next_to(14,14,12,15)'], 'holds(in(learner,14,14),6)', 6], [['holds(in(learner,12,14),5),-next_to(14,14,12,14)'], 'holds(in(learner,14,14),6)', 6], []]","['rotate(learner,north1)', 'rotate(learner,north)', 'shoot(learner,attacker2)']","[[['holds(face(learner,south),4),-next_dir(north1,north_east)']], [['holds(face(learner,south),5),-next_dir(north,north_east)']], [[], ['-holds(in_range(learner,attacker2),6)']]]","belief0 : 
['-occurs(shoot(learner,attacker2),6)']
None
belief1 : 
['-holds(in_range(learner,attacker2),6)']
[['-occurs(shoot(R,A),I)', '-holds(in_range(R,A),I)']]
"
1,"['occurs(move(learner,15,14),7)']",[[]],"['move(learner,3,9)']","[[[], ['holds(in(learner,14,14),7),-next_to(3,9,14,14)']]]","belief0 : 
['-occurs(move(learner,3,9),7)']
None
"
1,"['occurs(shoot(learner,attacker3),8)']",[[]],"['move(learner,17,8)']","[[[], ['holds(in(learner,15,14),8),-next_to(17,8,15,14)']]]","belief0 : 
['-occurs(move(learner,17,8),8)']
None
"
2,"['occurs(move(learner,8,14),1)', 'occurs(move(learner,7,14),2)', 'occurs(move(learner,6,14),3)']","[[['holds(in(learner,9,14),1),-next_to(6,14,9,14)'], 'holds(in(learner,6,14),3)', 3]]","['rotate(learner,south_east1)']","[[['holds(face(learner,south),1),-next_dir(south_east1,north_east)']]]","belief0 : 
['-occurs(rotate(learner,south_east1),1)']
None
belief1 : 
[('holds(face(learner,south),1)', '-next_dir(south_east1,south)')]
[['-occurs(rotate(R,D1),I)', 'holds(face(R,D2),I),-next_dir(D1,D2)']]
belief2 : 
[]
[['holds(face(learner,south),0)', ''], ['holds(face(learner,south),1)', '']]
"
2,"['occurs(move(learner,8,14),1)', 'occurs(move(learner,7,14),2)', 'occurs(move(learner,6,14),3)']","[[['holds(in(learner,9,14),1),-next_to(6,14,9,14)'], 'holds(in(learner,6,14),3)', 3], [['holds(in(learner,8,14),2),-next_to(6,14,8,14)'], 'holds(in(learner,6,14),3)', 3]]","['rotate(learner,south_east1)', 'move(learner,7,1)']","[[['holds(face(learner,south),1),-next_dir(south_east1,north_east)']], [[], ['holds(in(learner,8,14),2),-next_to(7,1,8,14)']]]","belief0 : 
['-occurs(move(learner,7,1),2)']
None
"
2,"['occurs(move(learner,8,14),1)', 'occurs(move(learner,7,14),2)', 'occurs(move(learner,6,14),3)']","[[['holds(in(learner,9,14),1),-next_to(6,14,9,14)'], 'holds(in(learner,6,14),3)', 3], [['holds(in(learner,8,14),2),-next_to(6,14,8,14)'], 'holds(in(learner,6,14),3)', 3], []]","['rotate(learner,south_east1)', 'move(learner,7,1)', 'shoot(learner,attacker3)']","[[['holds(face(learner,south),1),-next_dir(south_east1,north_east)']], [[], ['holds(in(learner,8,14),2),-next_to(7,1,8,14)']], [[], ['-holds(in_range(learner,attacker3),3)']]]","belief0 : 
['-occurs(shoot(learner,attacker3),3)']
None
belief1 : 
['-holds(in_range(learner,attacker3),3)']
[['-occurs(shoot(R,A),I)', '-holds(in_range(R,A),I)']]
"
0,"['occurs(move(learner,10,14),1)', 'occurs(move(learner,11,14),2)', 'occurs(move(learner,12,14),3)']","[[['holds(in(learner,10,15),1),-next_to(12,14,10,15)'], 'holds(in(learner,12,14),3)', 3]]","['shoot(learner,attacker3)']","[[[], ['-holds(in_range(learner,attacker3),1)']]]","belief0 : 
['-occurs(shoot(learner,attacker3),1)']
None
belief1 : 
['-holds(in_range(learner,attacker3),1)']
[['-occurs(shoot(R,A),I)', '-holds(in_range(R,A),I)']]
"
0,"['occurs(move(learner,10,14),1)', 'occurs(move(learner,11,14),2)', 'occurs(move(learner,12,14),3)']","[[['holds(in(learner,10,15),1),-next_to(12,14,10,15)'], 'holds(in(learner,12,14),3)', 3], [['holds(in(learner,10,14),2),-next_to(12,14,10,14)'], 'holds(in(learner,12,14),3)', 3]]","['shoot(learner,attacker3)', 'shoot(learner,attacker3)']","[[[], ['-holds(in_range(learner,attacker3),1)']], [[], ['-holds(in_range(learner,attacker3),2)']]]","belief0 : 
['-occurs(shoot(learner,attacker3),2)']
None
belief1 : 
['-holds(in_range(learner,attacker3),2)']
[['-occurs(shoot(R,A),I)', '-holds(in_range(R,A),I)']]
"
0,"['occurs(move(learner,10,14),1)', 'occurs(move(learner,11,14),2)', 'occurs(move(learner,12,14),3)']","[[['holds(in(learner,10,15),1),-next_to(12,14,10,15)'], 'holds(in(learner,12,14),3)', 3], [['holds(in(learner,10,14),2),-next_to(12,14,10,14)'], 'holds(in(learner,12,14),3)', 3], []]","['shoot(learner,attacker3)', 'shoot(learner,attacker3)', 'shoot(learner,attacker3)']","[[[], ['-holds(in_range(learner,attacker3),1)']], [[], ['-holds(in_range(learner,attacker3),2)']], [[], ['-holds(in_range(learner,attacker3),3)']]]","belief0 : 
['-occurs(shoot(learner,attacker3),3)']
None
belief1 : 
['-holds(in_range(learner,attacker3),3)']
[['-occurs(shoot(R,A),I)', '-holds(in_range(R,A),I)']]
"
0,"['occurs(move(learner,8,14),1)', 'occurs(move(learner,7,14),2)', 'occurs(move(learner,6,14),3)']","[[['holds(in(learner,9,14),1),-next_to(6,14,9,14)'], 'holds(in(learner,6,14),3)', 3]]","['shoot(learner,attacker3)']","[[[], ['-holds(in_range(learner,attacker3),1)']]]","belief0 : 
['-occurs(shoot(learner,attacker3),1)']
None
belief1 : 
['-holds(in_range(learner,attacker3),1)']
[['-occurs(shoot(R,A),I)', '-holds(in_range(R,A),I)']]
"
0,"['occurs(move(learner,8,14),1)', 'occurs(move(learner,7,14),2)', 'occurs(move(learner,6,14),3)']","[[['holds(in(learner,9,14),1),-next_to(6,14,9,14)'], 'holds(in(learner,6,14),3)', 3], [['holds(in(learner,8,14),2),-next_to(6,14,8,14)'], 'holds(in(learner,6,14),3)', 3]]","['shoot(learner,attacker3)', 'shoot(learner,attacker3)']","[[[], ['-holds(in_range(learner,attacker3),1)']], [[], ['-holds(in_range(learner,attacker3),2)']]]","belief0 : 
['-occurs(shoot(learner,attacker3),2)']
None
belief1 : 
['-holds(in_range(learner,attacker3),2)']
[['-occurs(shoot(R,A),I)', '-holds(in_range(R,A),I)']]
"
0,"['occurs(move(learner,8,14),1)', 'occurs(move(learner,7,14),2)', 'occurs(move(learner,6,14),3)']","[[['holds(in(learner,9,14),1),-next_to(6,14,9,14)'], 'holds(in(learner,6,14),3)', 3], [['holds(in(learner,8,14),2),-next_to(6,14,8,14)'], 'holds(in(learner,6,14),3)', 3], []]","['shoot(learner,attacker3)', 'shoot(learner,attacker3)', 'shoot(learner,attacker3)']","[[[], ['-holds(in_range(learner,attacker3),1)']], [[], ['-holds(in_range(learner,attacker3),2)']], [[], ['-holds(in_range(learner,attacker3),3)']]]","belief0 : 
['-occurs(shoot(learner,attacker3),3)']
None
belief1 : 
['-holds(in_range(learner,attacker3),3)']
[['-occurs(shoot(R,A),I)', '-holds(in_range(R,A),I)']]
"
0,"['occurs(move(learner,5,13),4)', 'occurs(move(learner,4,13),5)']","[[['holds(in(learner,6,13),4),-next_to(4,13,6,13)'], 'holds(in(learner,4,13),5)', 5]]","['shoot(learner,attacker3)']","[[[], ['-holds(in_range(learner,attacker3),4)']]]","belief0 : 
['-occurs(shoot(learner,attacker3),4)']
None
belief1 : 
['-holds(in_range(learner,attacker3),4)']
[['-occurs(shoot(R,A),I)', '-holds(in_range(R,A),I)']]
"
0,"['occurs(move(learner,5,13),4)', 'occurs(move(learner,4,13),5)']","[[['holds(in(learner,6,13),4),-next_to(4,13,6,13)'], 'holds(in(learner,4,13),5)', 5], []]","['shoot(learner,attacker3)', 'shoot(learner,attacker3)']","[[[], ['-holds(in_range(learner,attacker3),4)']], [[], ['-holds(in_range(learner,attacker3),5)']]]","belief0 : 
['-occurs(shoot(learner,attacker3),5)']
None
belief1 : 
['-holds(in_range(learner,attacker3),5)']
[['-occurs(shoot(R,A),I)', '-holds(in_range(R,A),I)']]
"
0,"['occurs(move(learner,3,12),6)']",[[]],"['shoot(learner,attacker3)']","[[[], ['-holds(in_range(learner,attacker3),6)']]]","belief0 : 
['-occurs(shoot(learner,attacker3),6)']
None
belief1 : 
['-holds(in_range(learner,attacker3),6)']
[['-occurs(shoot(R,A),I)', '-holds(in_range(R,A),I)']]
"
